BOM ID,TYPE,PHX Class,Theoretical QTY,Location,Cycle Count,Date Counted,UOM,Theo' x Actual Variance,Past 30 MO (metric unit),Past 30 FO (metric unit),Manufactured-Fulfilled,Used for MFG After Actual (-),Conversion,Received QTY After Actual Count (From Receiving Logs Only) (+),Ranking,Current Internal lot number,Used in IHF/ Shipstation After Count,,,Theo Count Static,Actual Count,Date Counted,WH Remarks,Theoretical QTY,Variance,Random Count,Date Counted,Subtype
WL-Cucumber-Body-Lotion-8oz-Shay,White Label,A,75,,75,10/04/24,units,0.00%,0,0,0,0,1,0,224,,0,,,,75,10/04/24,,75,0.00%,150,8/19/2024,White Label Cosmetics
WL-Body-Wash-8oz-Shay,White Label,B,1990,,"1,990.00",10/04/24,units,0.00%,0,50,-50,0,1,0,6498,,0,,,,"1,990.00",10/04/24,,"1,990.00",0.00%,"1,994.00",8/19/2024,White Label Cosmetics
WL-Body-Wash-8oz-PLSF,White Label,,0,,0,10/04/24,units,0.00%,0,0,0,0,1,0,0,,0,,,,0,10/04/24,,0,0.00%,0,10/04/24,White Label Cosmetics
WL-Cystic-Spot-0.5oz-PLSF,White Label,,0,,0,10/04/24,units,0.00%,0,0,0,0,1,0,0,,0,,,,0,10/04/24,,0,0.00%,0,10/04/24,White Label Cosmetics
WL-Invisible-Spot-Treatment-PLSF,White Label,B,1898,,"1,898.00",10/04/24,units,0.00%,0,0,0,0,1,0,4726,,0,,,,"1,898.00",10/04/24,,"1,898.00",0.00%,"1,898.00",10/04/24,White Label Cosmetics
WL-Four-In-One-8oz-PLSF,White Label,C,333,,333,10/04/24,units,0.00%,0,0,0,0,1,0,2194,,0,,,,333,10/04/24,,333,0.00%,333,10/04/24,White Label Cosmetics
WL-Four-In-One-4oz-PLSF,White Label,B,1507,,"1,507.00",10/04/24,units,0.00%,0,0,0,0,1,0,6103,,0,,,,"1,507.00",10/04/24,,"1,507.00",0.00%,"1,507.00",10/04/24,White Label Cosmetics
WL-Retinol-Cream-2oz-PLSF,White Label,C,25,,25,10/04/24,units,0.00%,0,0,0,0,1,0,88,,0,,,,25,10/04/24,,25,0.00%,25,10/04/24,White Label Cosmetics
WL-Oil-Free-Skin-Repair-Serum-2oz-Shay,White Label,C,1832,,"1,882.00",10/04/24,units,2.66%,50,50,0,50,1,0,531,,0,,,,"1,882.00",10/04/24,,"1,832.00",2.66%,"1,882.00",10/04/24,White Label Cosmetics
WL-Acne-Patches,White Label,B,9450,,"9,450.00",10/04/24,units,0.00%,500,500,0,0,1,0,2745,,0,,,,"9,450.00",10/04/24,,"9,450.00",0.00%,"6,000.00",8/19/2024,White Label Cosmetics
WL-Caffeine-Theanine-Capsules-120-Nutrafill,White Label,C,847,,847,10/04/24,units,0.00%,0,0,0,0,1,0,3943,,0,,,,847,10/04/24,,847,0.00%,847,10/04/24,White Label Cosmetics
WL-Skin-Vitamins-60-Nutrafill,White Label,,0,,0,10/04/24,units,0.00%,0,0,0,0,1,0,0,,0,,,,0,10/04/24,,0,0.00%,0,10/04/24,White Label Cosmetics
WL-Hair-Savior-60-Norax,White Label,C,33,,33,10/04/24,units,0.00%,0,0,0,0,1,0,157,,0,,,,33,10/04/24,,33,0.00%,33,10/04/24,White Label Cosmetics
TA-Pimple-Tool-Kit,Ingredient,C,206,,206,10/04/24,units,0.00%,500,500,0,0,1,0,351,,0,,,,206,10/04/24,,206,0.00%,206,10/04/24,White Label Cosmetics
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
