BOM ID,TYPE,PHX Class,Theoretical QTY,Location,Cycle Count,Date Counted,UOM,Theo' x Actual Variance,Past 30 MO,Past 30 FO,Manufactured-Fulfilled,Received QTY After Actual Count (From Receiving Logs Only) (+),MFG After Actual (-),rank,,,,,,Theoretical QTY,Actual Count,Date Counted,WH Remarks,Variance,Random Count,Date Counted,Subtype
Caps,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAP-24-410-Drip-Tip,Top Cover,A,"19,000.00",,"19,000.00",09/01/24,units,0.00%,13775,13762,13,0,16487,1,,,,,,2513,"15,000.00",10/07/24,,-26.67%,"15,000.00",10/07/24,Caps
CAP-20-410-Drip-Tip,Top Cover,,"9,500.00",,"9,500.00",09/01/24,units,0.00%,0,0,0,0,0,133,,,,,,9500,"5,000.00",10/07/24,,-90.00%,"5,000.00",10/07/24,Caps
SPRAY-MIST-20-410-White-5.5-NEW,Top Cover,B,"23,850.00",,"23,850.00",09/01/24,units,0.00%,3571,3560,11,0,4134,6,,,,,,19716,"18,900.00",10/07/24,,-26.19%,"18,900.00",10/07/24,Caps
"SPRAY-MIST-24-410-White-7.5""",Top Cover,C,"22,000.00",,"22,000.00",09/01/24,units,0.00%,80,80,0,0,80,108,,,,,,21920,"23,101.00",10/07/24,,4.77%,"23,101.00",10/07/24,Caps
TRIGGER-SPRAYER-24-410-7.75-WHITE,Top Cover,,"3,600.00",,"3,600.00",09/01/24,units,0.00%,0,0,0,0,0,,,,,,,3600,"3,150.00",10/07/24,,-14.29%,"3,150.00",10/07/24,Caps
TRIGGER-SPRAYER-24-410-7.75-Black,Top Cover,B,"1,100.00",,"1,100.00",09/01/24,units,0.00%,129,0,129,0,129,53,,,,,,971,750,10/07/24,,-46.67%,"1,100.00",8/19/2024,Caps
LID-89-400-Cap-F217-Liner-White-HS,CM Packaging-Top,A,420,,420,09/01/24,units,0.00%,0,0,0,0,0,163,,,,,,420,0,10/07/24,,-100.00%,0,10/07/24,Caps
Shrink Bands,,,,,,,,,,,,,,,,,,,,,,,,,,,
Safetry-Shrink-Dome-M1421CL-8oz,Safety Shrink Band,B,"19,951.00",,"19,951.00",09/01/24,units,0.00%,0,50,-50,0,0,34,,,,,,19951,0,10/07/24,,-100.00%,0,10/07/24,Shrink Bands
M1006CL-Dome-Shrink-Band 66X175,Safety Shrink Band,,"15,000.00",,"15,000.00",09/01/24,units,0.00%,3571,3560,11,0,4134,5,,,,,,10866,"1,500.00",10/07/24,Located more of this BOM,-900.00%,"1,500.00",10/07/24,Shrink Bands
M172-Shrink-Band-118x70,Safety Shrink Band,B,"20,000.00",,"20,000.00",09/01/24,units,0.00%,0,0,0,0,0,100,,,,,,20000,"3,200.00",10/07/24,Located more of this BOM,-525.00%,"3,200.00",10/07/24,Shrink Bands
M879CL-Dome-Shrink-Band 77X240,Safety Shrink Band,B,"12,451.00",,"12,451.00",09/01/24,units,0.00%,0,0,0,0,0,69,,,,,,12451,"2,500.00",10/07/24,,-398.04%,"2,500.00",10/07/24,Shrink Bands
M1109CL-Safety-Shrink-Band-100x38mm,Safety Shrink Band,A,"8,000.00",,"8,000.00",09/01/24,units,0.00%,129,0,129,0,129,22,,,,,,7871,"3,700.00",10/07/24,,-116.22%,"3,700.00",10/07/24,Shrink Bands
M1005CL-Dome-Shrink-Band 77X185,Safety Shrink Band,,0,,0,09/01/24,units,0.00%,0,0,0,0,0,240,,,,,,0,0,10/07/24,,0.00%,0,10/07/24,Shrink Bands
M1612CL-Dome-Shrink-Band 100X180mm,Safety Shrink Band,A,0,,0,09/01/24,units,0.00%,0,0,0,0,0,43,,,,,,0,0,10/07/24,,0.00%,0,10/07/24,Shrink Bands
M15208CL-Clear-Perforated-Shrink-Band 152x150,Safety Shrink Band,,"10,000.00",,"10,000.00",09/01/24,units,0.00%,0,0,0,0,0,240,,,,,,10000,0,10/07/24,,-100.00%,0,10/07/24,Shrink Bands
M1151CL-Dome-Shrink-Band-52x143,safety Shrink Band,C,"18,600.00",,"18,600.00",09/01/24,units,0.00%,0,0,0,0,0,240,,,,,,18600,"18,600.00",10/07/24,,0.00%,"18,600.00",10/07/24,Shrink Bands
M139CL-Safety-Shrink-Band-75x28mm,Safety Shrink Band,,"14,000.00",,"14,000.00",09/01/24,units,0.00%,0,0,0,0,0,240,,,,,,14000,"13,200.00",10/07/24,,-6.06%,"13,200.00",10/07/24,Shrink Bands
Safetry-Shrink-M175-57x36,Safety Shrink Band,,"15,000.00",,"15,000.00",09/01/24,units,0.00%,0,0,0,0,0,240,,,,,,15000,"11,000.00",10/07/24,,-36.36%,"11,000.00",10/07/24,Shrink Bands
LABL-NS-Shrink-Sleeve-Liquid-Stevia-OG-US-2oz,Label,,"5,736.00",,"5,736.00",09/01/24,units,0.00%,0,90,-90,0,0,133,,,,,,5736,,10/07/24,,-100.00%,,10/07/24,Shrink Bands
LABL-NS-Shrink-Sleeve-Liquid-Stevia-Vanilla-US-2oz,Label,,"3,940.00",,"3,940.00",09/01/24,units,0.00%,0,0,0,0,0,163,,,,,,3940,,10/07/24,,-100.00%,,10/07/24,Shrink Bands
LABL-NS-Shrink-Sleeve-Liquid-Stevia-Caramel-US-2oz,Label,C,"4,140.00",,"4,140.00",09/01/24,units,0.00%,0,0,0,0,0,240,,,,,,4140,,10/07/24,,-100.00%,,10/07/24,Shrink Bands
LABL-NS-Shrink-Sleeve-Liquid-Stevia-Chocolate-US-2oz,Label,,"3,736.00",,"3,736.00",09/01/24,units,0.00%,0,0,0,0,0,163,,,,,,3736,"3,736.00",10/07/24,,0.00%,"3,736.00",10/07/24,Shrink Bands
LABL-NS-Shrink-Sleeve-Liquid-Stevia-Toffee-US-2oz,Label,C,"3,940.00",,"3,940.00",09/01/24,units,0.00%,0,0,0,0,0,240,,,,,,3940,"3,940.00",10/07/24,,0.00%,"3,940.00",10/07/24,Shrink Bands
LABL-NS-Shrink-Sleeve-Monk-Fruit-Extract-US-2oz,Label,C,"4,200.00",,"4,200.00",09/01/24,units,0.00%,0,0,0,0,0,240,,,,,,4200,"4,200.00",10/07/24,,0.00%,"4,200.00",10/07/24,Shrink Bands
CLEARECOBAG-4X5,Eco Bags,,"1,500.00",,"1,500.00",09/01/24,units,0.00%,0,90,-90,0,0,62,,,,,,1500,"1,500.00",10/07/24,,0.00%,"1,500.00",10/07/24,Shrink Bands
