ASIN,iSKU,BOM ID,BOM Class,Component Type,Quantity (unit/kg/Liter),Material Unit Price,Per FG price,Status,
B08JRTPCSN,AY-Crepe-Skin-Repair-Treatment-8oz,JAR-89-400-8oz-Straight-Base-White-HS,Packaging,CM Packaging-Container,1,0.47,0.46784,Active,
B08JRTPCSN,AY-Crepe-Skin-Repair-Treatment-8oz,LID-89-400-Cap-F217-Liner-White-HS,Packaging,CM Packaging-Top,1,0.22,0.2194,Active,
B08JRTPCSN,AY-Crepe-Skin-Repair-Treatment-8oz,LABL-AY-Crepe-Repair-Side,Packaging,Label,1,0.13,0.125,Active,
B08JRTPCSN,AY-Crepe-Skin-Repair-Treatment-8oz,WL-Crepey-Lotion-8oz-HS,Raw Material,White Label,1,2.4,2.4,Active,
B08KD5W3DQ,AY-Exfoliate-Bad-Vibes-Acne-Scrub-4oz,LABL-8.79x1.58-AY-Exfoliate-Bad-Vibes-Acne-Scrub-4oz,Packaging,Label,1,0.23,0.23,Active,
B08KD5W3DQ,AY-Exfoliate-Bad-Vibes-Acne-Scrub-4oz,WL-Four-In-One-4oz-PLSF,Raw Material,White Label,1,4.05,4.05,Active,
B08K19R2CB,AY-Fresh-Reset-Fabric-Spray-8oz,BTL-8oz-Cosmo-White-24-410,Packaging,Container/Pouch,1,0.3,0.3,Active,
B08K19R2CB,AY-Fresh-Reset-Fabric-Spray-8oz,RM-TA-PEPPERMINT-ESSENTIAL-OIL-TMP,Raw Material,Ingredient,0.00005,70.95,0.00355,Active,
B08K19R2CB,AY-Fresh-Reset-Fabric-Spray-8oz,RM-TA-TEA-TREE-ESSENTIAL-OIL-TMP,Raw Material,Ingredient,0.00005,73.48,0.00367,Active,
B08K19R2CB,AY-Fresh-Reset-Fabric-Spray-8oz,RM-Clary-Sage-Essential-Oil,Raw Material,Ingredient,0.00005,178.79,0.00894,Active,
B08K19R2CB,AY-Fresh-Reset-Fabric-Spray-8oz,RM-Cashmere-Pear-Fragrance-Oil,Raw Material,Ingredient,0.00025,81.83,0.02046,Active,
B08K19R2CB,AY-Fresh-Reset-Fabric-Spray-8oz,RM-Euxyl-PE-9010,Raw Material,Ingredient,0.0005,39.93,0.01997,Active,
B08K19R2CB,AY-Fresh-Reset-Fabric-Spray-8oz,RM-TA-LAVENDER-ESSENTIAL-OIL-TMP,Raw Material,Ingredient,0.00125,83.6,0.1045,Active,
B08K19R2CB,AY-Fresh-Reset-Fabric-Spray-8oz,RM-Polysorbate-20,Raw Material,Ingredient,0.00165,13.2,0.02178,Active,
B08K19R2CB,AY-Fresh-Reset-Fabric-Spray-8oz,RM-ISO-ALCOHOL-99,Raw Material,Ingredient,0.0031,0.73,0.00227,Active,
