,,,,,,Powder COAs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PURCHASE ORDER DETAILS,,,,,,,,,,,,,DELIVERY DETAILS,,,,,,,,,,,,,COA DETAILS,,,PRICING DETAILS,,,,,,,,,PAYMENT DETAILS,,,,,,,,,,,,,,,REMARKS,,,,,,
DATE ISSUED,REFERENCE,PO #,ASIN,BOM ID,DESCRIPTION,ITEM STATUS/NOTES,CATEGORY,PRODUCT,QTY,UOM,SUPPIER,STATUS,ESTIMATED MFG COMPLETION DATE,ESTIMATED MFG LEAD TIME (DAYS),ESTIMATED SHIPPING LEAD TIME (DAYS),ESTIMATED ARRIVAL DATE,CURRENT EXPECTED ARRIVAL DATE,ACTUAL MFG COMPLETION DATE,ACTUAL MFG LEAD TIME (DAYS),ACTUAL SHIPPING LEAD TIME (DAYS),ACTUAL ARRIVAL DATE,MFG LEAD TIME VARIANCE,SHIPPING LEAD TIME VARIANCE,SHIP TO,CONFIDENTIAL FOR NOVAEO ONLY,COA FOR CUSTOMERS,MFG DATE,EXPIRY DATE,UNIT PRICE,AMOUNT,FREIGHT,DUTY/TAXES,OTHER CHARGES,TOTAL AMOUNT,Landed Cost/unit,PAYMENT TERM,FREIGHT TERM,INVOICE NO.,DOWN PAYMENT,DP DUE DATE,DP DATE PAID,BALANCE AMOUNT,BALANCE DUE DATE,BALANCE PAID DATE,Withn MFG SLA,Within Shipping SLA,Agreed SLA,Delivery TL,Within XSLA,Year,Month,Week,FINDINGS,Type,ASIN,ISKU/BOM,QTY,UOM,Status
1/13/2022,,2060,,RM-PWD-L-Citrulline-Malate-2:1,,,,,200,kg,Haigen,CHECKED IN,1/20/2022,7,30,03/10/22,05/09/22,1/20/2022,7,106,05/06/22,0,76,Tampa,22110112801,22110112801,1/17/2022,1/16/2024,$36.00 ,"$7,200.00 ",$304.68 ,,,"$7,504.68 ",$37.52 ,NET90,,22NK10S0117Y1927,,,,"$72,000.00 ",,,,No,37,113,0,2022,Jan,2,FedEx TN 8170490565,Ingredient,,RM-PWD-L-Citrulline-Malate-2:1,200,kg,
1/18/2022,,2062,,TA-Cystic-Acne-Spot-Treatment-NEW-Covalence,,Split Shipment 39 boxes to AMZ,,,"6,825",units,Covalence,CHECKED IN,03/10/22,98,7,3/17/2022,5/18/2022,05/10/22,112,3,5/13/2022,61,-4,Amazon,,,,,$1.14 ,"$7,780.50 ",$759.00 ,,"$2,211.00 ","$10,750.50 ",$1.58 ,Net 30 on ship date,,,,,,,,,No,Yes,105,115,0,2022,Jan,3,UPS TN 1ZR42E180308973442,Turnkey FG,B01BPCAWK4,TA-Cystic-Acne-Spot-Treatment-0.5oz,"6,825",units,
1/18/2022,,2062,,TA-Cystic-Acne-Spot-Treatment-NEW-Covalence,,Split Shipment 17 boxes to Tampa,,,"2,804",units,Covalence,CHECKED IN,03/10/22,98,7,3/17/2022,5/18/2022,05/10/22,112,8,5/18/2022,61,1,Tampa,,,,,$1.14 ,"$3,196.56 ",$759.00 ,,$948.00 ,"$4,903.56 ",$1.75 ,Net 30 on ship date,,,,,,,,,No,No,105,120,0,2022,Jan,3,UPS TN 1Z8551V34322776932,Turnkey FG,B01BPCAWK4,TA-Cystic-Acne-Spot-Treatment-0.5oz,"2,804",units,
1/21/2022,,2063,,WL-Cucumber-Body-Lotion-8oz-PLSF,,2516 ready to ship,,,"2,516",pcs,PLSF,CHECKED IN,02/03/22,42,7,02/03/22,02/03/22,02/03/22,13,0,02/03/22,0,,Tampa,,,,,$6.75 ,"$16,983.00 ",$286.00 ,,,"$17,269.00 ",$6.86 ,100% Due on Receipt,,5252,,,,"$17, 269.00",02/08/22,02/08/22,Yes,Yes,49,13,1,2022,Jan,3,FedEx TN 775936792919,,,WL-Cucumber-Body-Lotion-8oz-PLSF,"2,516",pcs,
1/31/2022,,BP_002,,RM-PWD-Stevia-TSG90,,,,,200,kg,Haigen,CHECKED IN,02/11/22,5,7,2/16/2022,2/16/2022,02/11/22,11,6,2/17/2022,0,-1,Tampa,22110081701,22110081701,8/17/2021,8/16/2023,$25.00 ,"$5,000.00 ",,,,"$5,000.00 ",$25.00 ,NET90,,22NK10S0207Y1938,,,,"$5,000.00 ",4/15/2022,4/15/2022,No,Yes,12,17,0,2022,Jan,5,FedEx TN 9282602755,,,RM-PWD-Stevia-TSG90,200,kg,
02/01/22,,2064,,RM-PWD-Green-Coffee-Bean-Extract,,,,,50,kg,Jiaherb,CHECKED IN,02/07/22,5,7,02/08/22,02/08/22,02/10/22,9,-2,02/08/22,3,-9,Tampa,JLKFD-T-151903,JLKFD-T-151903,03/08/21,02/09/24,$35.00 ,"$1,750.00 ",$175.00 ,,,"$1,925.00 ",$38.50 ,Net 30 on ship date,,116743,,,,"$1,750.00 ",3/29/2022,3/29/2022,No,Yes,12,7,1,2022,Feb,5,UPS TN 1Z059FY00355427407,Ingredient,,RM-PWD-Green-Coffee-Bean-Extract,50,kg,
02/08/22,,116521,,LABL-AY-6.125x0.5625-Warrior-2-Spot-Jar,,#1262,,,"1,115",pcs,Wizard Labels,CHECKED IN,2/16/2022,5,7,2/23/2022,2/23/2022,2/16/2022,8,2,2/18/2022,0,-5,Tampa,,,,,$0.28 ,$314.43 ,,,,$314.43 ,$0.28 ,CBS,,,,,,,,,No,Yes,12,10,1,2022,Feb,6,UPS TN 1ZE02E120359441816,Label,,LABL-AY-6.125x0.5625-Warrior-2-Spot-Jar,"1,115",pcs,
02/08/22,,117062,,LABL-TA-Pillow-Spray,,"[3.500""h x 4.750""w] #1277",,,"1,020",pcs,Wizard Labels,CHECKED IN,03/06/22,5,7,3/13/2022,03/08/22,03/06/22,5,2,03/08/22,0,-5,Tampa,,,,,$0.39 ,$394.74 ,,,,$394.74 ,$0.39 ,CBS,,,,,,,,,,Yes,12,7,1,2022,Feb,6,UPS TN 1ZE02E120358338565,Label,,LABL-TA-Pillow-Spray,"1,020",pcs,
02/08/22,,2640123,,RM-TA-JASMINE-VANILLA-NAT-FRAGRANCE-OIL-TMP,,,,,160,oz,Wholesale Supplies Plus,CHECKED IN,2/14/2022,5,7,2/21/2022,2/21/2022,2/14/2022,6,7,2/21/2022,0,0,Tampa,,,,,$6.20 ,$992.00 ,$5.95 ,,,$997.95 ,$6.24 ,CBS,,,,,,,,,No,,12,13,0,2022,Feb,6,,,,RM-TA-JASMINE-VANILLA-NAT-FRAGRANCE-OIL-TMP,160,oz,
02/08/22,,2065,,RM-PWD-BetaAlanine,,,,,25,kg,Nutravative,CHECKED IN,02/12/22,5,7,2/19/2022,2/19/2022,02/12/22,4,2,2/14/2022,0,-5,Tampa,C652107017,C652107017,7/18/2021,7/19/2023,$9.00 ,$225.00 ,,,,$225.00 ,$9.00 ,NET30,,26477,,,,$225.00 ,03/11/22,03/10/22,Yes,Yes,12,6,1,2022,Feb,6,,Ingredient,,RM-PWD-BetaAlanine,25,kg,
