iSKU,Brand,PHX Class,Theoretical QTY,Location,Actual Count,Date Counted,UOM,Mfg After Date Counted (+),Received QTY After Actual Count (From Receiving Logs Only) (+),FO After Date Counted (-),FO After Date Counted (-) (FROM BUNDLES),IHF After Date Counted (-),Duplicate,ASIN,FBA VELOZ RANKING,Past 30 MO,Past 30 FO,Manufactured-Fulfilled,,Theo Count Static,Actual Count,Date Counted,Warehouse Remarks,Variance,,,,NOT IN WIR-FG,
PS-Stevia-125g-Organic,Purisure,A,0,,0,10/04/24,Units,0,0,0,0,0,,B07D41C32Z,0,0,0,0,,,0,10/04/24,,0.00%,,,,,Purisure Powders
PS-Black-Tea-Powder-125g,Purisure,A,22,,22,10/04/24,Units,0,0,0,0,0,,B0B7RY2SXG,22,690,690,0,,,22,10/04/24,,0.00%,,,,,Purisure Powders
PS-Iced-Tea-4oz,Purisure,A,114,,117,10/04/24,Units,0,0,0,0,3,,B00U324G6Y,0,3040,2940,100,,,117,10/04/24,,2.56%,,,,,Purisure Powders
PS-Green-Tea-Extract-250g,Purisure,C,6,,6,10/04/24,Units,0,0,0,0,0,,B07YKNHS98,0,0,0,0,,,6,10/04/24,,0.00%,,,,,Purisure Powders
PS-Green-Coffee-Bean-Extract-150g,Purisure,B,84,,84,10/04/24,Units,0,0,0,0,0,,B08C4VYDJN,0,0,0,0,,,84,10/04/24,,0.00%,,,,,Purisure Powders
PS-Dihydromyricetin-DHM-100g,Purisure,A,3,01-Jul,3,10/04/24,Units,400,0,400,0,0,,B07RCVVX4R,0,400,400,0,,,3,10/04/24,,0.00%,,,,,Purisure Powders
PS-Myo-Inositol-250g,Purisure,C,26,,26,10/04/24,Units,0,0,0,0,0,,B01N0T5CV6,26,0,0,0,,,26,10/04/24,,0.00%,,,,,Purisure Powders
PS-Myo-Inositol-1kg,Purisure,C,9,01-Jul,9,10/04/24,Units,0,0,0,0,0,,B07D41F8GD,0,0,0,0,,,9,10/04/24,,0.00%,,,,,Purisure Powders
PS-Citrulline-Malate-250g,Purisure,C,25,03-Jul,25,10/04/24,Units,0,0,0,0,0,,B00NOZG7CS,0,0,0,0,,,25,10/04/24,,0.00%,,,,,Purisure Powders
PS-Citrulline-Malate-1kg,Purisure,C,1,,1,10/04/24,Units,0,0,0,0,0,,B07B1M5SD3,0,0,0,0,,,1,10/04/24,,0.00%,,,,,Purisure Powders
PS-CDP-Choline-10g,Purisure,C,9,,9,10/04/24,Units,0,0,0,0,0,,B01LWQHD96,9,0,0,0,,,9,10/04/24,,0.00%,,,,,Purisure Powders
PS-CDP-Choline-50g,Purisure,B,22,,22,10/04/24,Units,0,0,0,0,0,,B01LWQHBXA,0,0,0,0,,,22,10/04/24,,0.00%,,,,,Purisure Powders
PS-Shilajit-25g,Purisure,C,99,,99,10/04/24,Units,0,0,0,0,0,,B07DNKN94L,99,0,0,0,,,99,10/04/24,,0.00%,,,,,Purisure Powders
PS-Shilajit-100g,Purisure,A,18,,18,10/04/24,Units,200,0,200,0,0,,B07D426F92,0,200,200,0,,,18,10/04/24,,0.00%,,,,,Purisure Powders
PS-L-Theanine-100g,Purisure,C,8,,9,10/04/24,Units,0,0,0,0,1,,B07DNKPXJ7,0,0,0,0,,,9,10/04/24,,11.11%,,,,,Purisure Powders
PS-Spirulina-250g,Purisure,,0,,0,10/04/24,Units,0,0,0,0,0,,,,0,0,0,,,0,10/04/24,,0.00%,,,,,Purisure Powders
PS-Organic-Spirulina-16oz,Purisure,C,66,,66,10/04/24,Units,0,0,0,0,0,,B0B68FBPQG,66,0,0,0,,,66,10/04/24,,0.00%,,,,,Purisure Powders
PS-Spirulina-1kg,Purisure,,0,,0,10/04/24,Units,0,0,0,0,0,,,,0,0,0,,,0,10/04/24,,0.00%,,,,,Purisure Powders
PS-Vitamin-C-250g,Purisure,C,22,,22,10/04/24,Units,0,0,0,0,0,,B01N1G55Q8,22,0,0,0,,,22,10/04/24,,0.00%,,,,,Purisure Powders
PS-Vitamin-C-1kg,Purisure,C,0,,0,10/04/24,Units,0,0,0,0,0,,B01NA6978W,0,0,0,0,,,0,10/04/24,,0.00%,,,,,Purisure Powders
PS-Alpha-GPC-25g,Purisure,C,27,,27,10/04/24,Units,0,0,0,0,0,,B07B1GDVT1,0,0,0,0,,,27,10/04/24,,0.00%,,,,,Purisure Powders
PS-Alpha-GPC-100g,Purisure,C,3,,3,10/04/24,Units,0,0,0,0,0,,B07B1PS9PP,3,0,0,0,,,3,10/04/24,,0.00%,,,,,Purisure Powders
PS-Agmatine-100g,Purisure,C,0,,0,10/04/24,Units,0,0,0,0,0,,B06Y5W4DMN,0,0,0,0,,,0,10/04/24,,0.00%,,,,,Purisure Powders
PS-ALCAR-250g,Purisure,C,10,,10,10/04/24,Units,0,0,0,0,0,,B07B1QL1RY,10,0,0,0,,,10,10/04/24,,0.00%,,,,,Purisure Powders
PS-Beta-Alanine-1kg,Purisure,C,0,,0,10/04/24,Units,0,0,0,0,0,,B01L7KT048,0,0,0,0,,,0,10/04/24,,0.00%,,,,,Purisure Powders
PS-Organic-Cordyceps-Militaris-6oz,Purisure,C,0,,0,10/04/24,Units,0,0,0,0,0,,B08C5BYRX3,0,0,0,0,,,0,10/04/24,,0.00%,,,,,Purisure Powders
PS-Longjack-200:1-100g,Purisure,C,83,,83,10/04/24,Units,0,0,0,0,0,,B01M6CJM8U,0,0,0,0,,,83,10/04/24,,0.00%,,,,,Purisure Powders
PS-Organic-Wheat-Grass-150g,purisure,C,0,,0,10/04/24,Units,0,0,0,0,0,,B0B5LKN9BT,0,0,0,0,,,0,10/04/24,,0.00%,,,,,Purisure Powders
PS-Wheatgrass-Powder-8oz-Organic,Purisure,C,0,,0,10/04/24,Units,0,0,0,0,0,,B08C515LPG,0,0,0,0,,,0,10/04/24,,0.00%,,,,,Purisure Powders
PS-Magnsm-Bisglycinate-Pwdr-250g,Purisure,C,50,,50,10/04/24,Units,0,0,0,0,0,,B08CK8RFH6,50,0,0,0,,,50,10/04/24,,0.00%,,,,,Purisure Powders
PS-Methylene-Blue-Powder-5g,Purisure,PLC-2024,9,,9,10/04/24,Units,0,0,0,0,0,,B0D3QF1FV7,9,0,0,0,,,9,10/04/24,,0.00%,,,,,Purisure Powders
PS-Monk-Fruit-Stevia-Blend-4X-4oz,Purisure,C,6,,6,10/04/24,Units,0,0,0,0,0,,B07XG5X6NH,6,0,0,0,,,6,10/04/24,,0.00%,,,,,Purisure Powders
Misc Purisure FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PS-Caffeine-Theanine-Capsules-120,purisure,C,912,,917,10/04/24,Units,0,0,0,0,5,,B07DNJ69FR,912,0,0,0,,,917,10/04/24,,0.55%,,,,,Misc Purisure FG
PS-Monk-Fruit-Liquid-2oz-3pack,Purisure,C,22,,22,10/04/24,Units,0,0,0,0,0,,B0B34RTZND,22,0,0,0,,,22,10/04/24,,0.00%,,,,,Misc Purisure FG
Teakihut Powders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TH-Monk-Fruit-4oz-Organic,Teaki Hut,A,93,,100,10/04/24,Units,0,0,0,0,7,,B08KGYJ4TL,0,4400,4400,0,,,100,10/04/24,,7.00%,,,,,Teakihut Powders
TH-Black-Tea-4oz,Teaki Hut,A,17,04-Jan,25,10/04/24,Units,0,0,0,0,8,,B00U31XAF8,17,3753,3750,3,,,25,10/04/24,,32.00%,,,,,Teakihut Powders
